School,SalaryType,Year,ProfType,Amount
Bates,COLA,2020,Assistant,"85,862"
Bowdoin,COLA,2020,Assistant,"85,506"
Carleton,COLA,2020,Assistant,"86,389"
Claremont McKenna,COLA,2020,Assistant,"37,274"
Colby,COLA,2020,Assistant,"106,846"
Colgate,COLA,2020,Assistant,"106,704"
Davidson,COLA,2020,Assistant,"66,458"
Furman,COLA,2020,Assistant,"78,315"
Grinnell,COLA,2020,Assistant,"105,974"
Hamilton,COLA,2020,Assistant,"110,037"
Haverford,COLA,2020,Assistant,"25,148"
Macalester,COLA,2020,Assistant,"80,892"
Middlebury,COLA,2020,Assistant,"92,761"
Oberlin,COLA,2020,Assistant,"88,623"
Pomona,COLA,2020,Assistant,"33,830"
Swarthmore,COLA,2020,Assistant,"76,816"
Vassar,COLA,2020,Assistant,"87,026"
Washington and Lee,COLA,2020,Assistant,"108,761"
Wesleyan,COLA,2020,Assistant,"88,836"
Williams,COLA,2020,Assistant,"92,993"
